,filename,letter,TM,number,year,region
0,Alpha_78025_60.jpg,Alpha,78025,60,-33,Alexandria
1,Eta_4820_3238.jpg,Eta,4820,3238,-72,Herakleopolite
2,Kappa_7883_4911.jpg,Kappa,7883,4911,-197,?
3,Epsilon_1516_2675.jpg,Epsilon,1516,2675,-257,Arsinoite
4,Mu_3099_6344.jpg,Mu,3099,6344,-109,Hermopolite
5,Kappa_663_5285.jpg,Kappa,663,5285,-273,Memphite
6,Epsilon_131_2800.jpg,Epsilon,131,2800,-109,Pathyrite
7,Alpha_4907_314.jpg,Alpha,4907,314,-51,Herakleopolite
8,Eta_2379_3393.jpg,Eta,2379,3393,-257,Alexandria?
9,Eta_5553_3172.jpg,Eta,5553,3172,-170,Arsinoite
10,Iota_18570_4149.jpg,Iota,18570,4149,-18,Alexandria
11,Iota_60_4723.jpg,Iota,60,4723,-136,Pathyrite?
12,Alpha_1527_543.jpg,Alpha,1527,543,-256,Arsinoite
13,Mu_2089_6402.jpg,Mu,2089,6402,-258,Palestina?
14,Eta_130532_2993.jpg,Eta,130532,2993,-42,Arsinoite
15,Lambda_18552_5474.jpg,Lambda,18552,5474,-15,Alexandria
16,Kappa_945_5264.jpg,Kappa,945,5264,-250,?
17,Delta_316244_1577.jpg,Delta,316244,1577,-188,Arsinoite
18,Kappa_665_5280.jpg,Kappa,665,5280,-259,Jordan
19,Kappa_2801_5172.jpg,Kappa,2801,5172,-83,Arsinoite
20,Alpha_5697_250.jpg,Alpha,5697,250,-74,Arsinoite
21,Pi_41479_8275.jpg,Pi,41479,8275,-67,Arsinoite
22,Omicron_3289_7921.jpg,Omicron,3289,7921,-244,Arsinoite
23,Chi_5850_12095.jpg,Chi,5850,12095,-223,Apollonopolite
24,Pi_262_8755.jpg,Pi,262,8755,-170,Pathyrite
25,Unknown_945_2845.jpg,Unknown,945,2845,-250,?
26,Omicron_1945_8000.jpg,Omicron,1945,8000,-251,Arsinoite?
27,Nu_56_7265.jpg,Nu,56,7265,-113,Pathyrite
28,Gamma_316241_1054.jpg,Gamma,316241,1054,-189,Arsinoite
29,Eta_3681_3284.jpg,Eta,3681,3284,-112,Arsinoite
30,Tau_18560_10326.jpg,Tau,18560,10326,-22,Alexandria
31,Unknown_5259_2833.jpg,Unknown,5259,2833,-46,Oxyrhynchite
32,Rho_1509_9366.jpg,Rho,1509,9366,-257,Athrybite?
33,Nu_41479_6691.jpg,Nu,41479,6691,-67,Arsinoite
34,Alpha_44625_86.jpg,Alpha,44625,86,-132,Aphroditopolite or Arsinoite or Herakleopolite?
35,Delta_5853_1717.jpg,Delta,5853,1717,-222,Apollonopolite
36,Omega_3444_12844.jpg,Omega,3444,12844,-161,Memphite
37,Theta_1137_3920.jpg,Theta,1137,3920,-254,Arsinoite?
38,Omicron_2837_7959.jpg,Omicron,2837,7959,-152,Arsinoite
39,Phi_1011_11904.jpg,Phi,1011,11904,-241,Memphite?
40,Lambda_18497_5489.jpg,Lambda,18497,5489,-13,Alexandria
41,Gamma_121852_1058.jpg,Gamma,121852,1058,-270,Oxyrhynchite
42,Lambda_5850_5544.jpg,Lambda,5850,5544,-223,Apollonopolite
43,Tau_5853_10409.jpg,Tau,5853,10409,-222,Apollonopolite
44,Gamma_3432_1332.jpg,Gamma,3432,1332,-160,Memphite
45,Nu_290_7185.jpg,Nu,290,7185,-130,Pathyrite?
46,Gamma_2379_1394.jpg,Gamma,2379,1394,-257,Alexandria?
47,Pi_255_8766.jpg,Pi,255,8766,-129,Pathyrite
48,Omicron_4900_7811.jpg,Omicron,4900,7811,-56,Herakleopolite
49,Tau_3681_10573.jpg,Tau,3681,10573,-112,Arsinoite
50,Sigma_5838_9731.jpg,Sigma,5838,9731,-282,1st Upper Nome
51,Eta_1570_3427.jpg,Eta,1570,3427,-247,Arsinoite
52,Eta_2089_3404.jpg,Eta,2089,3404,-258,Palestina?
53,Alpha_316254_18.jpg,Alpha,316254,18,-184,Arsinoite
54,Alpha_23306_114.jpg,Alpha,23306,114,-13,Herakleopolite
55,Gamma_316242_1052.jpg,Gamma,316242,1052,-188,Arsinoite
56,Nu_4196_6907.jpg,Nu,4196,6907,-237,Herakleopolite
